std_smiles,heavy_atom_count,pains_alert_count,pains_alert_names,smiles,name,source_id
CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,27.0,0.0,,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,Elesclomol,AKOS005145783
CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,18.0,0.0,,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,SULFAETHIODOLE,STK099239
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,22.0,0.0,,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,KETOTIFEN FUMARATE,12837194
CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)cc1,22.0,0.0,,CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)cc1,butopamine,R2466
N=C(N)N/N=C/c1c(Cl)cccc1Cl,14.0,0.0,,N=C(N)N/N=C/c1c(Cl)cccc1Cl,"(2E)-2-(2,6-dichlorobenzylidene)hydrazinecarboximidamide; Guanabenz acetate",3567922747
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,31.0,0.0,,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,GSK-690693,HY-10249
C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,25.0,0.0,,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,Radicicol,BIR0140
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)[C@H]2SC1,26.0,0.0,,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,,AK162391
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,22.0,0.0,,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Choline fenofibrate,Jin Quan :Project 1
CCOc1ccc(CC2NC(=O)CCSSCC(C(=O)N3CCCC3C(=O)NC(CCCN)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C([C@@H](C)O)NC(=O)C([C@@H](C)CC)NC2=O)cc1,68.0,0.0,,CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,antocin II,MFCD00672436
Nc1ccc(S(N)(=O)=O)cc1,11.0,0.0,,Nc1ccc(S(N)(=O)=O)cc1,Sulfanilamide,AX8152170
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,16.0,0.0,,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,STAVUDINE,PHAR087649
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,31.0,0.0,,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,pazopanib hydrochloride (ophthalmic),HY-12009
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,29.0,0.0,,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,MOSAPRIDE CITRATE,I052
CCCCCC/C=C/C=C\CCCCCCCC(=O)O,20.0,0.0,,CCCCCC/C=C/C=C\CCCCCCCC(=O)O,"(9Z,11E)-Octadecadienoic acid",7691
CC(=O)Nc1ccc(O)cc1,11.0,0.0,,CC(=O)Nc1ccc(O)cc1,"acetaminophen, Kowa",A7085
Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,21.0,0.0,,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,Triprolidine hydrochloride,T6764
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,24.0,0.0,,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CIPROFLOXACIN,J92069
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,20.0,0.0,,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,FLUDARABINE,207682234
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O3)C(C)(C)CCC1,52.0,0.0,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O3)C(C)(C)CCC1,Tretinoin tocoferil,SP-0018037-014
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,30.0,0.0,,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,AT-13387,S1163
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,28.0,0.0,,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,TG-02,HY-15166
Cn1c(N2CCCCS2(=O)=O)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,28.0,0.0,,Cn1c(N2CCCCS2(=O)=O)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,BMS-707035,IN2240
CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,23.0,0.0,,CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,Granisetron??Hydrochloride,G3796
NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],18.0,0.0,,NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],CB 1954,C2235-50MG
C=CCN1CCc2nc(N)sc2CC1,14.0,0.0,,C=CCN1CCc2nc(N)sc2CC1,talipexole,MFCD00274573
O=c1c(CC[S+]([O-])c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1,29.0,0.0,,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,Sulfinpyrazone,MFCD00057279
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)([O-])OCC[N+](C)(C)C,31.0,0.0,,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)([O-])OCC[N+](C)(C)C,Sphingosylphosphorylcholine,567735
CN1CCc2cccc(Cl)c2CC1,13.0,0.0,,CN1CCc2cccc(Cl)c2CC1,SK&F-86466,3866
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,20.0,0.0,,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,HOMATROPINE HYDROBROMIDE,H0155
CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,33.0,0.0,,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,,S2639
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,30.0,0.0,,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,flunarizine,3563501176
